learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
1,4,0,0.238,0.877,1,0.644745,2
1,4,3,0.238,0.877,1,0.946625,0
3,10,0,0.215,0.875,1,0.061188,0
3,10,9,0.215,0.875,1,0.10968,8
4,13,7,0.229,0.865,1,0.942749,7
5,9,0,0.22,0.871,1,0.000122,7
5,9,7,0.22,0.871,1,0.875549,5
6,19,6,0.22,0.863,1,0.871704,5
6,19,11,0.22,0.863,1,0.484894,8
6,19,12,0.22,0.863,1,0.376953,7
6,19,16,0.22,0.863,1,0.784576,2
7,8,1,0.209,0.866,1,0.66925,2
7,8,4,0.209,0.866,1,0.986298,0
8,10,3,0.223,0.887,1,0.987427,0
9,13,0,0.199,0.871,1,0.13443,0
9,13,2,0.199,0.871,1,0.645355,7
9,13,4,0.199,0.871,1,0.15036,1
9,13,6,0.199,0.871,1,0.997498,6
9,13,11,0.199,0.871,1,0.609283,5
9,13,12,0.199,0.871,1,0.242706,8
10,7,0,0.2,0.876,1,0.625793,5
10,7,1,0.2,0.876,1,0.639893,8
10,7,3,0.2,0.876,1,0.409821,2
11,2,0,0.194,0.867,1,0.565491,2
12,19,4,0.221,0.877,1,0.548462,2
13,8,0,0.232,0.87,1,0.662994,0
13,8,6,0.232,0.87,1,0.715363,8
14,7,1,0.219,0.871,1,0.2258,7
14,7,6,0.219,0.871,1,0.077271,5
15,15,5,0.218,0.879,1,0.517578,5
15,15,7,0.218,0.879,1,0.634796,7
15,15,9,0.218,0.879,1,0.565674,4
15,15,13,0.218,0.879,1,0.870514,0
16,8,3,0.201,0.854,1,0.930054,0
16,8,5,0.201,0.854,1,0.665253,3
17,16,11,0.22,0.885,1,0.821259,0
18,10,0,0.213,0.871,1,0.094482,3
18,10,2,0.213,0.871,1,0.537628,0
18,10,4,0.213,0.871,1,0.577271,9
18,10,6,0.213,0.871,1,0.631775,8
18,10,9,0.213,0.871,1,0.116089,7
19,5,0,0.203,0.874,1,0.369568,5
20,16,2,0.203,0.875,1,0.994934,9
20,16,3,0.203,0.875,1,0.168518,7
20,16,6,0.203,0.875,1,0.872711,5
20,16,7,0.203,0.875,1,0.377869,8
20,16,9,0.203,0.875,1,0.262115,0
21,6,3,0.224,0.868,1,0.364929,5
22,11,1,0.213,0.886,1,0.113342,8
22,11,2,0.213,0.886,1,0.717438,3
24,12,3,0.204,0.882,1,0.807373,9
24,12,7,0.204,0.882,1,0.07605,1
24,12,11,0.204,0.882,1,0.965881,2
26,20,2,0.21,0.877,1,0.230194,1
26,20,6,0.21,0.877,1,0.767395,2
26,20,8,0.21,0.877,1,0.224609,0
26,20,14,0.21,0.877,1,0.773529,8
27,10,0,0.197,0.884,1,0.347137,3
27,10,3,0.197,0.884,1,0.301483,9
27,10,4,0.197,0.884,1,0.574402,0
27,10,7,0.197,0.884,1,0.287659,8
28,20,9,0.222,0.858,1,0.949097,7
28,20,17,0.222,0.858,1,0.888641,0
28,20,18,0.222,0.858,1,0.760284,5
29,20,8,0.225,0.848,1,0.749481,7
29,20,10,0.225,0.848,1,0.453949,0
29,20,15,0.225,0.848,1,0.857697,3
30,13,1,0.214,0.883,1,0.223602,7
30,13,8,0.214,0.883,1,0.277954,0
30,13,11,0.214,0.883,1,0.361481,3
31,10,1,0.21,0.878,1,0.849731,7
31,10,6,0.21,0.878,1,0.213531,5
31,10,8,0.21,0.878,1,0.729675,8
31,10,9,0.21,0.878,1,0.965485,0
32,15,6,0.224,0.892,1,0.185425,5
32,15,7,0.224,0.892,1,0.395111,4
32,15,10,0.224,0.892,1,0.151062,1
32,15,12,0.224,0.892,1,0.593658,2
32,15,13,0.224,0.892,1,0.080048,0
33,22,2,0.215,0.885,1,0.136444,0
33,22,3,0.215,0.885,1,0.386902,5
33,22,5,0.215,0.885,1,0.578613,8
33,22,8,0.215,0.885,1,0.372955,7
